Days,Qo,Qw
1,285.00,385.00
2,1870.00,7.00
3,3124.00,1.00
4,2608.00,1.00
5,3052.00,5.00
6,2983.00,2.00
7,2981.00,6.00
8,3046.00,1.00
9,3057.00,0.00
10,3030.00,0.00
11,2908.00,0.00
12,1852.00,0.00
13,3127.00,0.00
14,3046.00,0.00
15,3047.00,0.00
16,3036.00,0.00
17,2972.00,0.00
18,3071.00,0.00
19,3068.00,0.00
20,3067.00,0.00
21,3044.00,0.00
22,2983.00,0.00
23,2967.00,0.00
24,2951.00,2.00
25,2657.00,2.00
26,2578.00,2.00
27,2997.00,2.00
28,3021.00,1.00
29,3010.00,1.00
30,2794.00,1.00
31,3059.00,1.00
32,2965.00,1.00
33,3131.00,1.00
34,3135.00,1.00
35,3143.00,1.00
36,3132.00,1.00
37,3140.00,1.00
38,3157.00,1.00
39,3192.00,1.00
40,3172.00,1.00
41,3160.00,1.00
42,3153.00,1.00
43,3131.00,1.00
44,960.00,2.00
45,0.00,0.00
46,73.00,0.00
47,3137.00,3.00
48,1431.00,2.00
49,1951.00,2.00
50,3061.00,3.00
51,3054.00,3.00
52,3103.00,3.00
53,3111.00,3.00
54,3303.00,3.00
55,3028.00,153.00
56,2999.00,152.00
57,3054.00,4.00
58,3026.00,5.00
59,3003.00,4.00
60,3016.00,10.00
61,1615.00,3.00
62,430.00,2.00
63,2579.00,4.00
64,2494.00,4.00
65,2848.00,4.00
66,1121.00,1.00
67,2448.00,2.00
68,2514.00,2.00
69,2753.00,3.00
70,2752.00,3.00
71,2737.00,2.00
72,2736.00,-14.00
73,2730.00,94.00
74,2728.00,4.00
75,2747.00,4.00
76,1986.00,3.00
78,547.00,5.00
79,3012.00,14.00
80,3168.00,3.00
81,3164.00,4.00
82,3173.00,4.00
83,3189.00,4.00
84,3187.00,4.00
85,3177.00,4.00
86,3171.00,4.00
87,3171.00,5.00
88,3188.00,0.00
89,3416.00,6.00
90,3702.00,7.00
91,4002.00,8.00
92,4253.00,8.00
93,4280.00,8.00
94,4440.00,9.00
95,4583.00,9.00
96,4677.00,9.00
97,4689.00,9.00
98,4688.00,9.00
99,4886.00,9.00
100,5013.00,10.00
101,5018.00,8.00
102,5019.00,20.00
103,5034.00,8020.00
104,5046.00,8020.00
105,5053.00,20.00
106,5066.00,30.00
107,5072.00,10.00
108,5086.00,10.00
109,3869.00,7.00
110,0.00,0.00
111,23.00,0.00
112,4020.00,8.00
113,5000.00,10.00
114,5067.00,10.00
115,5040.00,10.00
116,5058.00,10.00
117,5058.00,185.00
118,5070.00,10.00
119,5081.00,15.00
120,5082.00,10.00
121,5087.00,10.00
122,5060.00,10.00
123,5032.00,10.00
124,4332.00,8.00
125,5088.00,10.00
126,5102.00,10.00
127,5103.00,10.00
128,5135.00,7.00
129,5141.00,9.00
130,4722.00,10.00
131,5038.00,15.00
132,5147.00,11.00
133,5115.00,10.00
134,5124.00,12.00
135,5135.00,12.00
136,4233.00,10.00
137,5126.00,12.00
138,5076.00,12.00
139,5121.00,12.00
140,4372.00,10.00
141,3981.00,9.00
142,5115.00,1.00
143,5084.00,15.00
144,5081.00,5.00
145,5086.00,12.00
146,5088.00,16.00
147,5095.00,13.00
148,5096.00,36.00
149,5094.00,12.00
150,4622.00,11.00
151,2856.00,7.00
152,687.00,2.00
153,4169.00,10.00
154,3819.00,9.00
155,4305.00,10.00
156,3527.00,11.00
157,3342.00,8.00
158,3216.00,13.00
159,3176.00,7.00
160,3186.00,7.00
161,3183.00,7.00
162,3167.00,8.00
163,3149.00,7.00
164,3149.00,7.00
165,3163.00,7.00
166,3145.00,7.00
167,3177.00,7.00
168,3143.00,7.00
169,3346.00,11.00
170,2434.00,6.00
171,2317.00,4.00
172,2976.00,5.00
173,3032.00,4.00
174,2993.00,5.00
175,3093.00,5.00
176,2999.00,5.00
177,920.00,1.00
179,808.00,1.00
180,4060.00,6.00
181,4349.00,7.00
182,4412.00,7.00
183,4418.00,7.00
184,4449.00,9.00
185,4354.00,27.00
186,4499.00,48.00
187,5479.00,48.00
188,5444.00,54.00
189,5374.00,18.00
190,5315.00,10.00
191,4981.00,9.00
192,4450.00,8.00
193,2050.00,4.00
194,2059.00,4.00
195,2080.00,4.00
196,2090.00,4.00
197,2093.00,4.00
198,2084.00,40.00
199,2087.00,4.00
200,2190.00,4.00
201,2059.00,2.00
202,625.00,1.00
203,2029.00,2.00
204,837.00,0.00
205,0.00,0.00
206,0.00,0.00
207,0.00,0.00
208,761.00,0.00
209,2173.00,1.00
210,500.00,0.00
211,0.00,0.00
212,1182.00,2.00
213,4067.00,7.00
214,3736.00,6.00
215,4058.00,5.00
216,4036.00,6.00
217,4047.00,6.00
218,4005.00,6.00
219,3937.00,6.00
220,2503.00,11.00
221,2551.00,3.00
